work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,salary_in_inr,employee_residence,remote_ratio,company_location,company_size
2020,MI,FT,Lead Data Scientist,115000,USD,115000,8774500,AE,0,AE,L
2021,MI,FT,Research Scientist,80000,CAD,63971,4880987.3,CA,100,CA,M
2020,SE,FT,Machine Learning Scientist,260000,USD,260000,19838000,JP,0,JP,S
2021,MI,FT,Head of Data Science,110000,USD,110000,8393000,US,0,US,S
2021,MI,FT,Data Architect,180000,USD,180000,13734000,US,100,US,L
2021,SE,FT,Data Analyst,200000,USD,200000,15260000,US,100,US,L
2020,SE,FT,Big Data Engineer,85000,GBP,109024,8318531.2,GB,50,GB,M
2021,SE,FT,Director of Data Engineering,200000,USD,200000,15260000,US,100,US,L
2021,SE,FT,ML Engineer,256000,USD,256000,19532800,US,100,US,S
2021,MI,FT,Data Engineer,110000,USD,110000,8393000,US,100,US,L
2020,MI,FT,Data Scientist,70000,EUR,79833,6091257.9,DE,0,DE,L
2021,EN,FT,Data Engineer,72500,USD,72500,5531750,US,100,US,L
2021,SE,FT,Machine Learning Engineer,185000,USD,185000,14115500,US,50,US,L
2021,MI,PT,Data Engineer,59000,EUR,70329,5366102.7,NL,100,NL,L
2021,EN,FT,Research Scientist,100000,USD,100000,7630000,JE,0,CN,L
2021,MI,FT,Data Engineer,112000,USD,112000,8545600,US,100,US,L
2020,SE,FT,Machine Learning Engineer,150000,USD,150000,11445000,US,50,US,L
2021,SE,FT,Data Scientist,180000,TRY,21843,1666620.9,TR,50,TR,L
2021,SE,FT,AI Scientist,55000,USD,55000,4196500,ES,100,ES,L
2021,EN,FT,Data Scientist,58000,USD,58000,4425400,US,50,US,L
2021,EN,FT,Data Scientist,100000,USD,100000,7630000,US,100,US,M
2021,SE,FT,Data Scientist,65720,EUR,78340,5977342,FR,50,FR,M
2021,EN,FT,Machine Learning Engineer,85000,USD,85000,6485500,NL,100,DE,S
2021,EN,FT,Data Science Consultant,65000,EUR,77481,5911800.3,DE,0,DE,L
2021,SE,CT,Staff Data Scientist,105000,USD,105000,8011500,US,100,US,M
2020,EN,FT,Data Analyst,72000,USD,72000,5493600,US,100,US,L
2021,EN,FT,Data Engineer,55000,EUR,65561,5002304.3,DE,50,DE,M
2021,MI,FT,Data Engineer,250000,TRY,30337,2314713.1,TR,100,TR,M
2021,MI,FT,Data Engineer,111775,USD,111775,8528432.5,US,0,US,M
2021,MI,FT,Data Engineer,93150,USD,93150,7107345,US,0,US,M
2021,SE,FT,Lead Data Engineer,160000,USD,160000,12208000,PR,50,US,S
2021,MI,FT,Data Scientist,21600,EUR,25747,1964496.1,RS,100,DE,S
2021,SE,FT,Machine Learning Engineer,4900000,INR,66442,5069524.6,IN,0,IN,L
2021,MI,FT,Data Scientist,1250000,INR,16949,1293208.7,IN,100,IN,S
2021,SE,FT,Data Analyst,54000,EUR,64369,4911354.7,DE,50,DE,L
2020,SE,FT,Lead Data Scientist,190000,USD,190000,14497000,US,100,US,S
2021,EX,FT,Director of Data Science,120000,EUR,143043,10914180.9,DE,0,DE,L
2021,EN,FT,Big Data Engineer,1200000,INR,16271,1241477.3,IN,100,IN,L
2021,SE,FT,Data Analyst,90000,CAD,71968,5491158.4,CA,100,CA,M
2020,MI,FT,Data Scientist,11000000,HUF,35735,2726580.5,HU,50,HU,L
2021,SE,FT,Data Scientist,135000,USD,135000,10300500,US,0,US,L
2021,EN,FT,Machine Learning Engineer,21000,EUR,25032,1909941.6,DE,50,DE,M
2021,SE,FT,Data Science Manager,4000000,INR,54238,4138359.4,IN,50,US,L
2021,SE,FT,Machine Learning Engineer,1799997,INR,24407,1862254.1,IN,100,IN,L
2021,EN,FT,BI Data Analyst,9272,USD,9272,707453.6,KE,100,KE,S
2021,MI,FT,Data Scientist,147000,USD,147000,11216100,US,50,US,L
2021,SE,FT,Research Scientist,120500,CAD,96357,7352039.1,CA,50,CA,L
2021,SE,FT,Data Science Manager,174000,USD,174000,13276200,US,100,US,L
2020,MI,FT,Business Data Analyst,135000,USD,135000,10300500,US,100,US,L
2021,EN,FT,Machine Learning Engineer,21844,USD,21844,1666697.2,CO,50,CO,M
2020,SE,FT,Lead Data Engineer,125000,USD,125000,9537500,NZ,50,NZ,S
2020,EN,FT,Data Scientist,45000,EUR,51321,3915792.3,FR,0,FR,S
2020,MI,FT,Data Scientist,3000000,INR,40481,3088700.3,IN,0,IN,L
2021,EX,FT,Data Science Consultant,59000,EUR,70329,5366102.7,FR,100,ES,S
2021,SE,FT,Data Analytics Engineer,50000,USD,50000,3815000,VN,100,GB,M
2021,MI,FT,Data Engineer,4000,USD,4000,305200,IR,100,IR,M
2020,EN,FT,Data Scientist,35000,EUR,39916,3045590.8,FR,0,FR,M
2020,MI,FT,Lead Data Analyst,87000,USD,87000,6638100,US,100,US,L
2021,MI,FT,Data Engineer,22000,EUR,26224,2000891.2,RO,0,US,L
2021,MI,FT,Data Scientist,76760,EUR,91500,6981450,DE,50,DE,L
2021,MI,FT,Big Data Engineer,1672000,INR,22671,1729797.3,IN,0,IN,L
2021,MI,FT,Data Scientist,420000,INR,5695,434528.5,IN,100,US,S
2021,EN,FT,Machine Learning Engineer,81000,USD,81000,6180300,US,50,US,S
2021,MI,FT,Data Scientist,30400000,CLP,40798,3112887.4,CL,100,CL,L
2021,MI,FT,Data Scientist,58000,MXN,2876,219438.8,MX,0,MX,S
2021,EN,FT,Data Science Consultant,90000,USD,90000,6867000,US,100,US,S
2021,MI,FT,Data Scientist,52000,EUR,61985,4729455.5,DE,50,AT,M
2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,14878500,US,100,US,M
2021,MI,FT,Data Scientist,32000,EUR,38144,2910387.2,ES,100,ES,L
2020,MI,FT,Data Analyst,85000,USD,85000,6485500,US,100,US,L
2021,EX,CT,Principal Data Scientist,416000,USD,416000,31740800,US,100,US,S
2021,SE,FT,Machine Learning Scientist,225000,USD,225000,17167500,US,100,CA,L
2021,MI,FT,Data Scientist,40900,GBP,56578,4316901.4,GB,50,GB,L
2021,MI,FT,Data Scientist,2500000,INR,33899,2586493.7,IN,0,IN,M
2021,MI,FT,Data Scientist,85000,GBP,117583,8971582.9,GB,50,GB,L
2021,MI,FT,Machine Learning Engineer,180000,PLN,47129,3595942.7,PL,100,PL,L
2020,MI,FT,Data Analyst,8000,USD,8000,610400,PK,50,PK,L
2020,EN,FT,Data Engineer,4450000,JPY,41689,3180870.7,JP,100,JP,S
2020,SE,FT,Big Data Engineer,100000,EUR,114047,8701786.1,PL,100,GB,S
2021,MI,FT,Machine Learning Engineer,75000,EUR,89402,6821372.6,BE,100,BE,M
2020,EN,FT,Data Science Consultant,423000,INR,5707,435444.1,IN,50,IN,M
2020,MI,FT,Lead Data Engineer,56000,USD,56000,4272800,PT,100,US,M
2021,EN,PT,Computer Vision Engineer,180000,DKK,28850,2201255,DK,50,DK,S
2021,MI,FT,Data Scientist,75000,EUR,89402,6821372.6,DE,50,DE,L
2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,3306155.3,CN,0,CN,M
2020,MI,FT,Product Data Analyst,450000,INR,6072,463293.6,IN,100,IN,L
2020,SE,FT,Data Engineer,42000,EUR,47899,3654693.7,GR,50,GR,L
2020,MI,FT,BI Data Analyst,98000,USD,98000,7477400,US,0,US,M
2021,MI,FT,Data Engineer,48000,GBP,66400,5066320,HK,50,GB,S
2021,MI,FT,Research Scientist,48000,EUR,57217,4365657.1,FR,50,FR,S
2021,MI,FT,Machine Learning Engineer,21000,EUR,25032,1909941.6,SI,50,SI,L
2021,SE,FT,Data Analytics Manager,120000,USD,120000,9156000,US,0,US,L
2021,MI,FL,Data Engineer,20000,USD,20000,1526000,IT,0,US,L
2020,EX,FT,Director of Data Science,325000,USD,325000,24797500,US,100,US,L
2021,SE,FT,Machine Learning Engineer,200000,USD,200000,15260000,US,100,US,L
2020,EN,FT,AI Scientist,300000,DKK,45896,3501864.8,DK,50,DK,S
2021,MI,FT,Data Scientist,160000,USD,160000,12208000,US,100,US,L
2021,SE,FT,Research Scientist,50000,USD,50000,3815000,FR,100,US,S
2021,MI,FT,Data Science Engineer,34000,EUR,40529,3092362.7,GR,100,GR,M
2021,EX,FT,Principal Data Engineer,600000,USD,600000,45780000,US,100,US,L
2021,MI,FT,Data Scientist,69600,BRL,13000,991900,BR,0,BR,S
2021,SE,FT,Data Engineer,165000,USD,165000,12589500,US,0,US,M
2021,EN,FT,Big Data Engineer,435000,INR,5898,450017.4,IN,0,CH,L
2020,MI,FT,Data Scientist,37000,EUR,42197,3219631.1,FR,50,FR,S
2021,SE,FT,Principal Data Engineer,185000,USD,185000,14115500,US,100,US,L
2020,EN,FT,Data Scientist,55000,EUR,62726,4785993.8,DE,50,DE,S
2021,MI,FT,Data Scientist,76760,EUR,91500,6981450,DE,50,DE,L
2020,EN,PT,Data Scientist,19000,EUR,21669,1653344.7,IT,50,IT,S
2020,MI,FT,Data Engineer,110000,USD,110000,8393000,US,100,US,L
2021,SE,FT,Data Analytics Manager,140000,USD,140000,10682000,US,100,US,L
2020,SE,FT,Data Scientist,120000,USD,120000,9156000,US,50,US,L
2021,SE,FT,Data Scientist,110000,CAD,87961,6711424.3,CA,100,CA,S
2021,SE,FT,Finance Data Analyst,45000,GBP,62250,4749675,GB,50,GB,L
2021,MI,FL,Machine Learning Scientist,12000,USD,12000,915600,PK,50,PK,M
2021,SE,FT,Data Engineer,65000,EUR,77481,5911800.3,RO,50,GB,S
2021,MI,FT,Machine Learning Engineer,74000,USD,74000,5646200,JP,50,JP,S
2021,SE,FT,Data Science Manager,152000,USD,152000,11597600,US,100,FR,L
2021,MI,FT,Big Data Engineer,18000,USD,18000,1373400,MD,0,MD,S
2020,SE,FL,Computer Vision Engineer,60000,USD,60000,4578000,RU,100,US,S
2021,MI,FT,Data Scientist,130000,USD,130000,9919000,US,50,US,L
2021,SE,FT,Computer Vision Engineer,102000,BRL,19052,1453667.6,BR,0,BR,M
2021,EN,FT,Business Data Analyst,50000,EUR,59601,4547556.3,LU,100,LU,L
2021,SE,FT,Principal Data Scientist,147000,EUR,175228,13369896.4,DE,100,DE,M
2020,SE,FT,Principal Data Scientist,130000,EUR,148261,11312314.3,DE,100,DE,M
2020,MI,FT,Data Scientist,34000,EUR,38776,2958608.8,ES,100,ES,M
2021,MI,FT,Data Scientist,39600,EUR,47204,3601665.2,ES,100,ES,M
2021,EN,FT,Data Scientist,4000,USD,4000,305200,VN,0,VN,M
2021,EN,FT,AI Scientist,1335000,INR,18102,1381182.6,IN,100,AS,S
2020,SE,FT,Data Scientist,80000,EUR,91237,6961383.1,AT,0,AT,S
2020,MI,FT,Data Scientist,55000,EUR,62726,4785993.8,FR,50,LU,S
2021,MI,FT,Data Scientist,115000,USD,115000,8774500,US,50,US,L
2021,SE,FT,Principal Data Scientist,235000,USD,235000,17930500,US,100,US,L
2021,MI,FT,Lead Data Analyst,1450000,INR,19661,1500134.3,IN,100,IN,L
2021,EN,PT,AI Scientist,12000,USD,12000,915600,BR,100,US,S
2021,MI,FT,Data Analyst,75000,USD,75000,5722500,US,0,US,L
2021,MI,FT,Data Analyst,62000,USD,62000,4730600,US,0,US,L
2021,MI,FT,Data Scientist,73000,USD,73000,5569900,US,0,US,L
2021,MI,FT,Data Engineer,38400,EUR,45773,3492479.9,NL,100,NL,L
2020,SE,FT,Data Science Manager,190200,USD,190200,14512260,US,100,US,M
2020,MI,FT,Data Scientist,118000,USD,118000,9003400,US,100,US,M
2020,MI,FT,Data Scientist,138350,USD,138350,10556105,US,100,US,M
2020,MI,FT,Data Engineer,130800,USD,130800,9980040,ES,100,US,M
2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,3480653.4,HR,100,HR,S
2021,SE,FT,Director of Data Science,168000,USD,168000,12818400,JP,0,JP,S
2021,MI,FT,Data Scientist,160000,SGD,119353,9106633.9,SG,100,IL,M
2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,32274900,US,50,US,L
2021,MI,FT,Data Engineer,24000,EUR,28608,2182790.4,MT,50,MT,L
2021,SE,FT,Data Specialist,165000,USD,165000,12589500,US,100,US,L
2020,SE,FT,Data Scientist,412000,USD,412000,31435600,US,100,US,L
2021,MI,FT,Principal Data Scientist,151000,USD,151000,11521300,US,100,US,L
2020,EN,FT,Data Scientist,105000,USD,105000,8011500,US,100,US,S
2020,EN,CT,Business Data Analyst,100000,USD,100000,7630000,US,100,US,L
2021,SE,FT,Data Science Manager,7000000,INR,94917,7242167.1,IN,50,IN,L
